id,title,type,description,tags,author,status
FB-1036844829507460_122161648767072582,🥲,meme,🥲,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122160935775072582,Yo no finjo u.u,meme,Yo no finjo u.u  #UniverseSentMe #WilfredUSM #goodvibes  #memes,"#UniverseSentMe, #WilfredUSM, #goodvibes, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122161628961072582,En mi búsqueda...,meme,En mi búsqueda...  #UniverseSentMe #gansoUSM #memes #humor #pazmental,"#UniverseSentMe, #gansoUSM, #memes, #humor, #pazmental",Universe Sent Me,aprobado
FB-1036844829507460_122165156205072582,😌,meme,😌  #UniverseSentMe #humor #UniverseUSM,"#UniverseSentMe, #humor, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122160964083072582,¿Sabes cuando me vuelvo a abrir?,meme,¿Sabes cuando me vuelvo a abrir?  #UniverseSentMe #GansoUSM #memes #humor,"#UniverseSentMe, #GansoUSM, #memes, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122163236397072582,🤭🤭,meme,🤭🤭  #UniverseSentMe #humor #memes,"#UniverseSentMe, #humor, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122164182423072582,😏,meme,😏  #UniverseSentMe #humor #MaeveUSM #memes #KaelUSM,"#UniverseSentMe, #humor, #MaeveUSM, #memes, #KaelUSM",Universe Sent Me,aprobado
FB-1036844829507460_122161375407072582,😎 obvio...,meme,😎 obvio...   #UniverseSentMe #WilfredUSM #memes #humor,"#UniverseSentMe, #WilfredUSM, #memes, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122167031919072582,🥴🥴🥴,meme,🥴🥴🥴  #UniverseSentMe #humor #MaeveUSM #KaelUSM #memes,"#UniverseSentMe, #humor, #MaeveUSM, #KaelUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122164764261072582,🥴,meme,🥴  #UniverseSentMe #humor #memes,"#UniverseSentMe, #humor, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122161649331072582,🧙‍♂️,meme,🧙‍♂️  #WilfredUSM #UniverseSentMe,"#WilfredUSM, #UniverseSentMe",Universe Sent Me,aprobado
FB-1036844829507460_122166672831072582,Muero porque me desnudes 😏,meme,Muero porque me desnudes 😏  #UniverseSentMe #humor #tamalito #memes,"#UniverseSentMe, #humor, #tamalito, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122165157525072582,😎,meme,😎  #UniverseSentMe #KaelUSM #MaeveUSM #migajas #romantizar,"#UniverseSentMe, #KaelUSM, #MaeveUSM, #migajas, #romantizar",Universe Sent Me,aprobado
FB-1036844829507460_122160936237072582,👻👻,reel,👻👻,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122162635269072582,👻,meme,👻  #UniverseSentMe #humor #FantasmaUSM #memes,"#UniverseSentMe, #humor, #FantasmaUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122160925833072582,🥲,meme,🥲,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122164178979072582,Post 2026-09-11,meme,#viernes  #UniverseSentMe #humor #memes,"#viernes, #UniverseSentMe, #humor, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122167022571072582,🫣,meme,🫣  #UniverseSentMe #humor #WilfredUSM #Reflexion #humor,"#UniverseSentMe, #humor, #WilfredUSM, #Reflexion, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122162635449072582,🥰😘,meme,🥰😘  #UniverseSentMe #UniverseUSM #humor #memes,"#UniverseSentMe, #UniverseUSM, #humor, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122161375557072582,🥴,meme,🥴   #UniverseSentMe #UniverseUSM #memes #humor,"#UniverseSentMe, #UniverseUSM, #memes, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122167035939072582,🥴hasta aqui llegue...,meme,🥴hasta aqui llegue...  #UniverseSentMe #humor #EvanUSM #memes,"#UniverseSentMe, #humor, #EvanUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122160881157072582,😉,meme,😉,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122163559719072582,😏,meme,😏,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122163465261072582,En tu peeeeeerrrrraaa vida!!!,meme,En tu peeeeeerrrrraaa vida!!!  jaja 😂😅🤣  #UniverseSentMe #humor #SilvioUSM #memes #Adikto,"#UniverseSentMe, #humor, #SilvioUSM, #memes, #Adikto",Universe Sent Me,aprobado
FB-1036844829507460_122167032189072582,🫣,meme,🫣  #UniverseSentMe #humor #EvanUSM #memes #migajero #vidareal,"#UniverseSentMe, #humor, #EvanUSM, #memes, #migajero, #vidareal",Universe Sent Me,aprobado
FB-1036844829507460_122165157357072582,🧐,meme,🧐  #UniverseSentMe #KiriUSM #humor #EvanUSM #memes,"#UniverseSentMe, #KiriUSM, #humor, #EvanUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122164154685072582,😳🫣,meme,😳🫣,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122167072497072582,🤨🤨,meme,🤨🤨  #UniverseSentMe #humor #memes #UniverseUSM,"#UniverseSentMe, #humor, #memes, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122163207393072582,Los rumores son ciertos 😁,meme,Los rumores son ciertos 😁  #UniverseSentMe #Humor #gansoUSM #memes,"#UniverseSentMe, #Humor, #gansoUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122163464583072582,Que tristeza... :c,meme,Que tristeza... :c  #UniverseSentMe #humor #UniverseUSM #memes,"#UniverseSentMe, #humor, #UniverseUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122161648959072582,Post 2026-09-09,meme,#UniverseSentMe,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122161593045072582,🥲🥲🥲,meme,🥲🥲🥲  #UniverseSentMe #humor #memes #UniverseUSM,"#UniverseSentMe, #humor, #memes, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122161373163072582,🤷‍♂️,meme,🤷‍♂️  #UniverseSentMe #SilvioUSM #meme #humor,"#UniverseSentMe, #SilvioUSM, #meme, #humor",Universe Sent Me,aprobado
FB-1036844829507460_122160625905072582,😌,meme,😌 volvi tonotos!   #UniverseSentMe #UniverseUSM,"#UniverseSentMe, #UniverseUSM",Universe Sent Me,aprobado
FB-1036844829507460_122161372983072582,🙃,meme,🙃,#UniverseSentMe,Universe Sent Me,aprobado
FB-1036844829507460_122162635017072582,😉😗,meme,😉😗  #UniverseSentMe #humor #EvanUSM #memes,"#UniverseSentMe, #humor, #EvanUSM, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122166673263072582,No te desanimes..,meme,No te desanimes..   #UniverseSentMe #WilfredUSM #humor #memes,"#UniverseSentMe, #WilfredUSM, #humor, #memes",Universe Sent Me,aprobado
FB-1036844829507460_122165156775072582,ustedes sueñan? 🤔,meme,ustedes sueñan? 🤔  #UniverseSentMe #humor #trabajo #soñar,"#UniverseSentMe, #humor, #trabajo, #soñar",Universe Sent Me,aprobado
FB-1036844829507460_122162635659072582,Wush wush... ✨✨,meme,Wush wush... ✨✨  #UniverseSentMe #humor #WilfredUSM #memes,"#UniverseSentMe, #humor, #WilfredUSM, #memes",Universe Sent Me,aprobado
